habitat,watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm,fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
lake,beaver,3.23,4.4,11.71,1.87,7.77,2.51,8.62,1.49,2.97,4.15,12.07,6.46,4.57,18.63,758.65,44.08,10.2,3.02,2.57,4.25,3.84,2.07,7.54,5.37,3.88,2.8,0,1.21,43.72,5.66,5,5.96,5,18,18,0.71,0.68,0.68,2.64,BeaL13.002,BeaL13.01_02.JPG,lake,Beaver,F,43.72,0.630822888,1.240716837,3.54712594,10.20141548,15.46979794,3.87,13.105123,1.825478257,6.666428075,6.326500873,5.098565828,0.731381598,6.199544634
lake,beaver,3.91,4.13,9.47,1.58,7.62,2.39,8.42,2.01,3.22,3.8,12.09,7.24,5.35,19.95,895.83,40.71,9.55,2.69,2.64,2.89,3.63,2.38,6.38,4.79,3.75,2.68,0,0.85,40.52,5.02,4,5.07,4,18,18,0.68,0.66,0.7,3.94,BeaL13.003,BeaL13.01_03.JPG,lake,Beaver,M,40.52,0.488777525,1.229150696,3.486073261,9.547391618,15.50825598,4.15,12.764922,1.83136723,6.574127516,6.226744969,4.680532045,0.565232716,6.113934327
lake,beaver,3.57,3.88,9.22,1.55,7.55,2.01,7.86,2.01,2.96,3.99,11.58,5.2,4.81,16.87,638.15,38.44,9.26,2.44,2.44,3.1,3.06,1.64,6.6,5.18,3.47,2.51,0,0.73,37.42,4.86,6,4.91,5,17,17,0.67,0.66,0.59,3.59,BeaL13.005,BeaL13.01_05.JPG,lake,Beaver,M,37.42,0.617048555,1.050829758,3.221531393,9.262791518,15.39302785,4.44,13.4327534,1.567573888,7.727152271,7.655391377,4.289311681,0.645311043,7.655391734
lake,beaver,3.94,4.38,11.49,1.95,8.26,3.59,10.24,2.13,3.58,4.54,13.97,8.82,6.29,23.77,929.95,47.78,10.81,3.36,3.33,4.3,4.48,2.72,6.6,5.01,3.74,2.55,0,1.45,46.43,5.8,5,5.92,5,16,16,0.66,0.54,0.75,2.75,BeaL13.006,BeaL13.01_06.JPG,lake,Beaver,F,46.43,0.924327854,1.277009609,4.226168913,10.80808913,15.54454904,4.7,14.20353869,1.495960513,8.129522434,8.033982819,5.616197056,1.064527607,8.036291066
lake,beaver,4.83,5.68,12.97,2.12,9.5,2.89,10.61,3.13,3.79,4.97,15.38,10.37,6.88,27.08,1676.68,52.73,12.38,3.67,2.86,4.12,4.17,2.21,8.68,7.89,5.44,3.8,0,1.99,52.94,7.3,5,7.31,5,18,18,1.33,1.36,1.34,2.21,BeaL13.007,BeaL13.01_07.JPG,lake,Beaver,F,52.94,0.971087781,1.566406532,4.772972598,12.38465059,15.39302785,3.34,17.86247561,2.197567031,9.604851382,9.559801206,7.219049481,1.037752029,9.366335744
lake,beaver,3.8,4.56,11.3,2.04,7.99,2.71,9.95,1.88,3.8,4.52,14.05,NA,NA,NA,NA,49.33,11.5,3.77,3.48,3.9,4.37,3.12,7.49,6.09,3.99,2.73,0,1.46,48.93,6.29,4,5.79,4,16,16,0.93,0.88,0.99,2.06,BeaL13.008,BeaL13.01_08.JPG,lake,Beaver,F,48.93,0.980873344,1.320420378,4.025766038,11.50059421,15.49280171,4.43,15.14527698,2.098994201,8.171357914,8.629760658,5.267114897,1.09350152,8.35144567
lake,beaver,2.84,4.02,9.41,1.54,6.47,1.91,7.31,2.13,2.8,3.55,11.07,4.87,3.52,12.95,383.88,36.79,8.85,2.16,1.58,2.53,2.92,1.5,5.32,4.33,3.2,2.44,0,0.59,35.87,4.97,5,5.2,5,18,18,0.73,0.72,0.66,3.41,BeaL13.009,BeaL13.01_09.JPG,lake,Beaver,F,35.87,0.590760143,1.061767398,3.1223409,8.854805679,15.29213196,5.68,11.30656788,1.529076694,5.784499115,5.014902382,4.176682485,0.749391269,4.856289993
lake,beaver,4.78,5.49,14.18,2.48,10.55,2.77,10.97,2.66,3.91,5.03,15.79,7.76,7.2,23.76,1269.49,54.91,13,4.1,3.22,3.91,4.32,2.72,8.6,6.16,5.01,3.19,0,2,54.97,6.8,6,7.05,6,17,17,1.17,1.28,0.94,2.24,BeaL13.010,BeaL13.01_10.JPG,lake,Beaver,M,54.97,0.701015672,1.26188379,3.73568348,13.00440175,NA,3.98,16.79219358,1.959933979,9.216481548,8.285369067,6.870454687,0.99233877,8.091096142
lake,beaver,4.72,5.27,12.7,2.21,9.57,2.79,10.58,2.69,3.86,4.97,14.94,8.68,6.59,24.25,1375.6,50.93,12.04,3.76,3.3,4.38,4.79,2.44,7.56,6.83,4.4,3.03,0,1.82,51.11,7.3,5,7.05,5,17,17 Rakers along mouth were separated count confirmed,0.85,0.9,0.95,2.52,BeaL13.011,BeaL13.01_11.JPG,lake,Beaver,M?,51.11,0.862604584,1.564334568,4.648641842,12.04068208,15.5468576,4.35,16.51371184,2.129475753,8.742027137,8.08323372,6.626452567,1.214866366,8.014450443
lake,beaver,3.81,4.05,12.12,2.22,9.14,2.31,9.7,2.66,3.99,4.84,15.07,6.07,6.24,19.79,861.02,48.77,11.86,3.65,3.06,3.4,3.65,2.26,7.66,5.69,4.48,3.08,0,1.47,48.32,5.21,6,5.59,6,19,19,0.84,0.85,0.84,3.75,BeaL13.012,BeaL13.01_12.JPG,lake,Beaver,M,48.32,0.483643669,0.715259687,2.189637624,11.85645865,15.31598827,4.69,16.10731508,2.175764399,8.353961271,8.50327302,6.308851451,1.297626521,8.266052389
